title,datePerformed,location,featured,videoLink
"You're On Your Own, Kid/Long Live",2024-05-25,"Lisbon, Portugal",-,-
Sparks Fly/I Can Fix Him (No Really I Can),2024-05-29,"Madrid, Spain",-,-
I Look In People's Windows/Snow on the Beach,2024-05-29,"Madrid, Spain",-,-
Our Song/Jump Then Fall,2024-05-30,"Madrid, Spain",-,-
King of my Heart,2024-05-30,"Madrid, Spain",-,-
The Prophecy/Long Story Short,2024-06-02,"Lyon, France",-,-
"Fifteen/You're On Your Own, Kid",2024-06-02,"Lyon, France",-,-
Glitch/Everything Has Changed,2024-06-03,"Lyon, France",-,-
"Chloe, Sam, Sophia or Marcus",2024-06-03,"Lyon, France",-,-
"Would've, Could've, Should've/I Know Places",2024-06-07,"Edinburgh, UK",-,-
Tis The Damn Season/Daylight,2024-06-07,"Edinburgh, UK",-,-
The Bolter/Getaway Car,2024-06-08,"Edinburgh, UK",-,-
All Of The Girls You Loved Before/Crazier,2024-06-08,"Edinburgh, UK",-,-
It's Nice To Have A Friend/Dorothea,2024-06-09,"Edinburgh, UK",-,-
Haunted/Exile,2024-06-09,"Edinburgh, UK",-,-
I Can See You/Mine,2024-06-13,"Liverpool, UK",-,-
Cornelia Street/Maroon,2024-06-13,"Liverpool, UK",-,-
This Is What You Came For/Gold Rush,2024-06-14,"Liverpool, UK",-,-
The Great War/You're Losing Me,2024-06-14,"Liverpool, UK",-,-
"Carolina/No Body, No Crime",2024-06-15,"Liverpool, UK",-,-
The Manuscript/Red,2024-06-15,"Liverpool, UK",-,-
I Forgot That You Existed/This Is Why We Can't Have Nice Things,2024-06-18,"Cardiff, UK",-,-
I Hate It Here/the lakes,2024-06-18,"Cardiff, UK",-,-
Hits Different/Death By A Thousand Cuts,2024-06-21,"London, UK",-,-
The Black Dog/Come Back...Be Here/Maroon,2024-06-21,"London, UK",-,-
thanK you aIMee/Mean,2024-06-22,"London, UK",-,-
Castles Crumbling,2024-06-22,"London, UK","Hayley Williams",-
us,2024-06-23,"London, UK","Gracie Abrams",-
Out of the Woods/Is It Over Now?/Clean,2024-06-23,"London, UK",-,-
"State of Grace/You're On Your Own, Kid",2024-06-28,"Dublin, Ireland",-,-
